year,licitacao_id,modalidade,numero,codigo,objeto,situacao
2023,20292,PRD DISPENSA EXCETO PEQUENO VALOR,9/2023,39,"Aquisição de gêneros alimentícios (leite) destinados as EMEIS, as EMEFS e o EJA, para o período de 2 meses, visando suprir a necessidade nutricional dentro dos cardápios estabelecidos.",Homologada
2023,20300,PREGÃO ELETRONICO,9/2023,47,"Aquisição de dois veículos modelo furgão, devidamente transformado em Ambulância tipo A para simples remoção",Homologada
2023,20496,PREGÃO PRESENCIAL,9/2023,200,"Contratação de empresa especializada na prestação de serviços de promoção de eventos, organização, execução e gestão do evento CAIS FOLIA/2024",Homologada
2023,20396,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,9/2023,136,"Credenciamento de laboratórios (pessoas jurídicas) para prestação de serviço de exames laboratoriais  (coleta e análise) oferecidos pelo SUS conforme nova tabela referência de exames São Borja, Decreto nº 20.059/2023 para fins de diagnóstico e prevenção em saúde.",Homologada
2023,20289,INEXIGIBILIDADE,10/2023,36,"Contratação de empresa para fornecimento de vale-transporte para os servidores públicos municipais, os alunos da rede pública e as unidades subordinadas.",Homologada
2023,20497,PREGÃO PRESENCIAL,10/2023,201,"Contratação de empresa especializada na prestação de serviços de segurança privada, em especial, serviços de vigia e portaria para execução de tais serviços nos eventos Cais Folia 2024 e Desfile de rua das escolas de samba de São Borja 2024",Homologada
2023,20293,PRD DISPENSA EXCETO PEQUENO VALOR,10/2023,40,"Contratação de empresa fornecedora de energia elétrica para os prédios públicos e semáforos, incluindo os pagamentos de taxa de administração.",Homologada
2023,20301,PREGÃO ELETRONICO,10/2023,48,"Registro de preço para aquisição de carga de oxigênio medicinal, destinados aos pacientes usuários do SUS",Fracassada
2023,20411,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,10/2023,151,"Credenciamento de profissionais (pessoas jurídicas) para a realização de mutirão de exames com finalidade diagnóstica por ultrassonografia para pacientes do SUS, nos termos da legislação pertinente e Lei n° 8.666/93.",Homologada
2023,20491,TOMADA DE PREÇO,10/2023,195,"Contratação de empresa especializada no ramo de engenharia civil, para execução de pavimentação com blocos intertravados de concreto (paver), terraplanagem, passeios com acessibilidade e sinalização viária na Rua Gal. Hipólito, no trecho entre a Rua Venâncio Aires e Rua Marechal Cândido Rondon, totalizando uma área de 810,00m² em São Borja, RS",Homologada
2023,20492,TOMADA DE PREÇO,11/2023,196,"Contratação de empresa especializada no ramo de engenharia civil, para execução de pavimentação com blocos intertravados de concreto (paver), terraplanagem, passeios com acessibilidade e sinalização viária na Rua Curupaiti, no trecho entre as Ruas Venâncio Aires e Rua Nicarágua, totalizando uma área de 2.541,60m² em São Borja, RS",Homologada
2023,20294,PRD DISPENSA EXCETO PEQUENO VALOR,11/2023,41,"Aquisição de gêneros alimentícios destinados as EMEFS, EMEIS e o EJA.",Homologada
2023,20302,PREGÃO ELETRONICO,11/2023,49,Contratação de empresa para fornecimento de Sistema de Gerenciamento das Receitas de Transferência do ICMS.,Homologada
2023,20487,CHAMAMENTO PÚBLICO/CREDENCIAMENTO,11/2023,191,Chamamento Público visando o Credenciamento de profissionais pessoas físicas ou jurídicas para Consultas de Atendimento Médico Especializado em Pediatria e Ginecologia/obstetrícia.,Julgada
2023,20290,INEXIGIBILIDADE,11/2023,37,Contratação de empresa prestadora de serviço de telefonia fixa para o município de São Borja/RS.,Homologada
2023,20295,PRD DISPENSA EXCETO PEQUENO VALOR,12/2023,42,"Contratação direta do Serviço Social do Comércio-SESC/RS, para prestação de serviços técnicos com utilização do 2º Seminário Internacional SESC de Educação 2023.",Homologada
2023,20305,INEXIGIBILIDADE,12/2023,52,"Contratação de empresa especializada para prestação de serviços de revisão e adequação parcial do Decreto 18.744/2020, assim como a realização de reunião virtual e presencial, com a finalidade de orientar a equipe do SIM.",Homologada
2023,20318,INEXIGIBILIDADE,13/2023,65,Autorização de repasse de recurso federal à entidade filantrópica Ivan Goulart.,Homologada
2023,20314,PREGÃO ELETRONICO,13/2023,61,"Contratação de empresa especializada para aquisição e instalação de divisórias de vidros, no 6º pavimento do prédio administrativo Salvador Lionço P. Alvarez",Homologada
2023,20297,PRD DISPENSA EXCETO PEQUENO VALOR,13/2023,44,"Dispensa de Chamamento Público para firmar Termo de Fomento entre o Município de São Borja e a Associação dos Pais e Amigos dos Excepcionais - APAE São Borja/RS, cuja finalidade é executar o projeto ""saúde e bem-estar por meio do brincar"". De acordo art. 30, inciso VI, da lei n° 13.019/2014, conforme solicitação de compras n° 44474, termo de referência e termo de fomento n° 003/2023/CS.",Homologada
2023,20319,INEXIGIBILIDADE,14/2023,66,Autorização de repasse federal para a Associação dos Pais e Amigos dos Excepcionais - APAE.,Homologada
2023,20315,PREGÃO ELETRONICO,14/2023,62,"Aquisição e instalação de aparelhos de academia de Ginástica ao Ar Livre, que será localizada na rua Itajaí n° 1157, anexa ao ESF 02 e a Praça General Vargas, no Município de São Borja/RS; em execução ao Convênio do Ministério da Cidadania n° 930741/2022",Homologada
2023,20299,PRD DISPENSA EXCETO PEQUENO VALOR,14/2023,46,"Dispensa de Chamamento Público para firmar Termo de Fomento entre o Município de São Borja e a Associação dos Pais e Amigos dos Excepcionais - APAE São Borja/RS, cuja finalidade é executar o projeto ""saúde e bem-estar por meio do brincar"". De acordo art. 30, inciso VI, da lei n° 13.019/2014, conforme solicitação de compras n° 44471, termo de referência e termo de fomento n° 001/2023/CS.",Homologada
2023,20317,PREGÃO ELETRONICO,15/2023,64,Registro de preços para aquisição de baterias novas para os veículos da frota da municipalidade.,Homologada
2023,20303,PRD DISPENSA EXCETO PEQUENO VALOR,15/2023,50,"Contratação direta do Serviço Nacional de Aprendizagem Industrial (SENAI), para execução de cursos profissionalizantes que atendem às necessidades apontadas pelo ""Projeto Capacitar"". As quais incluem materiais, mão de obra, instrutores e demais despesas para a realização do curso.",Homologada
2023,20307,PRD DISPENSA EXCETO PEQUENO VALOR,16/2023,54,"Contratação direta do Serviço Social do Comércio-SESC/RS para apresentações teatrais na abertura da programação de Páscoa, no dia 25/03/2023, em São Borja.",Homologada
2023,20326,INEXIGIBILIDADE,16/2023,71,"Contratação da Empresa Planalto Transportes Ltda para fornecimento de passagens rodoviárias, com seguro, para as cidades de Santa Maria e Porto Alegre, destinada a usuários do SUS, que necessitam de tratamento fora do Município.",Homologada
2023,20328,PREGÃO ELETRONICO,16/2023,73,Registro de preços para aquisição de aparelhos ares-condicionados 18.000 BTUs para todas as secretarias da Prefeitura Municipal de São Borja,Homologada
2023,20329,PREGÃO ELETRONICO,17/2023,74,Registro de preços para aquisição de combustíveis para as viaturas da frota municipal.,Homologada
2023,20327,INEXIGIBILIDADE,17/2023,72,"Contratação de empresa do ramo de engenharia para a elaboração de termo de referência, de planilha orçamentária, de cronograma físico-financeiro e dos demais documentos inerentes ao processo licitatório para contratação de empresa construtora das obras de execução do Museu Panorâmico e do Monumento da Cruz Missioneira, localizado na futura Avenida Beira Rio, no bairro do Passo, em São Borja/RS.",Homologada
2023,20308,PRD DISPENSA EXCETO PEQUENO VALOR,17/2023,55,Contratação direta do Serviço Nacional de Aprendizagem Comercial (SENAC) para a execução de cursos profissionalizantes que atendem as necessidades apontadas pelo Projeto Capacitar.,Homologada
2023,20334,INEXIGIBILIDADE,18/2023,79,"Prestação de serviços de correspondências, encomendas, marketing, conveniência, internacional exporta fácil, documento internacional, telegrama internacional, mala M e outros serviços como V-post e o PAC, melhor descritas no termo de referência e nos demais documentos que integram o processo de inexigibilidade.",Homologada
2023,20310,PRD DISPENSA EXCETO PEQUENO VALOR,18/2023,57,Contratação direta da Instituição Renascer Espaço Terapêutico para acolhimento de pessoa  portadora de deficiência.,Homologada
2023,20330,PREGÃO ELETRONICO,18/2023,75,"Registro de preços para aquisição de material de expediente, educativo e esportivo para as atividades desenvolvidas pela municipalidade",Homologada
2023,20352,INEXIGIBILIDADE,19/2023,97,"Contratação de peça teatral para discutir temáticas intrínsecas a sociedade com alcance social e cultura, sobre forma de prevenção e superação de situações de violência e violação de direitos.",Homologada
2023,20312,PRD DISPENSA EXCETO PEQUENO VALOR,19/2023,59,"Dispensa de Chamamento Público para firmar Termo de Fomento entre o Município de São Borja e a Associação de Literatura e Beneficência - Centro de Formação Tereza Verzeri, com o objetivo de executar o projeto ""Ilumina CFTV - A Captação da Energia através da radiação solar"", cuja finalidade é o provimento da demanda de atendimento educacional especial de alunos com deficiência intelectual e múltiplas. De acordo art. 30, inciso VI, da lei n° 13.019/2014, conforme solicitação de compras n° 44485, termo de referência e termo de fomento n° 004/2023/CS.",Homologada
2023,20332,PREGÃO ELETRONICO,19/2023,77,"Registro de preços para aquisição de materiais para pintura na sinalização de trânsito de vias públicas do município, e demais serviços específicos na área de trânsito.",Homologada
