funcao_acao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_acao
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO RESTAURANTE POPULAR,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,42,69,200454.73,0.770983763607379
SEGURANÇA PÚBLICA | DEFESA CIVIL,LOCAL_EXACT_ACTIVE,4,13,251867.0,0.9794035821159017
SEGURANÇA PÚBLICA | DEFESA CIVIL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,1,5296.65,0.020596417884098314
DESPORTO E LAZER | REALIZAÇÃO E APOIO ÀS FESTIVIDADES LIGAD,LOCAL_EXACT_ACTIVE,2,9,179101.0,0.7974185333101812
DESPORTO E LAZER | REALIZAÇÃO E APOIO ÀS FESTIVIDADES LIGAD,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,4,45500.0,0.20258146668981883
"URBANISMO | MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPAM",LOCAL_EXACT_ACTIVE,18,65,160598.68,0.7332238175881204
"URBANISMO | MANUTENÇÃO DE IMÓVEIS, VEÍCULOS E EQUIPAM",EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,7,13,58432.23,0.26677618241187967
EDUCAÇÃO | MANUTENÇÃO DO TRANSPORTE ESCOLAR - EDUCA,LOCAL_EXACT_ACTIVE,14,27,203734.59,0.9585517232229083
EDUCAÇÃO | MANUTENÇÃO DO TRANSPORTE ESCOLAR - EDUCA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,8809.59,0.0414482767770917
ADMINISTRAÇÃO | PUBLICIDADE INSTITUCIONAL,LOCAL_EXACT_ACTIVE,3,13,211302.53,1.0
EDUCAÇÃO | CONSTRUÇÃO DE CRECHES - TERMO DE COMPROM,LOCAL_EXACT_ACTIVE,1,2,203804.41,1.0
SEGURANÇA PÚBLICA | MANUTENÇÃO DOS SERVIÇOS DE SEGURANÇA NO,LOCAL_EXACT_ACTIVE,15,38,90268.71,0.4812050416423959
SEGURANÇA PÚBLICA | MANUTENÇÃO DOS SERVIÇOS DE SEGURANÇA NO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,1995.77,0.010639064034022915
SEGURANÇA PÚBLICA | MANUTENÇÃO DOS SERVIÇOS DE SEGURANÇA NO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,20,28,95324.39,0.5081558943235811
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES PARLAMENTARES,LOCAL_EXACT_ACTIVE,4,19,18885.18,0.1185193859718817
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES PARLAMENTARES,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,10,110975.65,0.6964596522686284
LEGISLATIVA | MANUTENÇÃO DAS ATIVIDADES PARLAMENTARES,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,3,29481.71,0.18502096175948995
AGRICULTURA | FOMENTO AO DESENVOLVIMENTO DA AGRICULTUR,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,133568.25,1.0
EDUCAÇÃO | PRÓ-INFÂNCIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,21,24,132278.47,1.0
HABITAÇÃO | MELHORIAS HABITACIONAIS,LOCAL_EXACT_ACTIVE,2,5,102283.88,0.8026193841236327
HABITAÇÃO | MELHORIAS HABITACIONAIS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,9,11,25153.71,0.1973806158763674
EDUCAÇÃO | MANUT.DO ENS.FUND.FUNDEB 30%,LOCAL_EXACT_ACTIVE,8,10,55528.58,0.5481378089030005
EDUCAÇÃO | MANUT.DO ENS.FUND.FUNDEB 30%,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,6,45775.47,0.45186219109699965
ASSISTÊNCIA SOCIAL | FUNDO MUNICIPAL DO IDOSO,LOCAL_EXACT_ACTIVE,1,8,119.05,0.0014294431427433155
ASSISTÊNCIA SOCIAL | FUNDO MUNICIPAL DO IDOSO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,3,83165.13,0.9985705568572566
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO FUNDO ESTADUAL DE ASSISTÊN,LOCAL_EXACT_ACTIVE,4,6,1834.07,0.02410133317073658
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO FUNDO ESTADUAL DE ASSISTÊN,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,13,14,74264.21,0.9758986668292633
LEGISLATIVA | DIVULGAÇÃO OFICIAL DA CÂMARA DE VEREADOR,LOCAL_EXACT_ACTIVE,3,3,67634.81,1.0
LEGISLATIVA | CAPACITAÇÃO DE AGENTES POLÍTICOS,LOCAL_EXACT_ACTIVE,1,4,4829.37,0.07184619872870684
LEGISLATIVA | CAPACITAÇÃO DE AGENTES POLÍTICOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,4,25,62388.8,0.9281538012712931
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO FUNDO MUNICIPAL DA CRIANÇA,LOCAL_EXACT_ACTIVE,4,20,14151.99,0.2200548613701597
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO FUNDO MUNICIPAL DA CRIANÇA,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,12340.0,0.19187951583542462
ASSISTÊNCIA SOCIAL | MANUTENÇÃO DO FUNDO MUNICIPAL DA CRIANÇA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,6,8,37819.2,0.5880656227944158
LEGISLATIVA | CAPACITAÇÃO DE AGENTES PÚBLICOS,LOCAL_EXACT_ACTIVE,1,1,1857.45,0.029132800997772358
LEGISLATIVA | CAPACITAÇÃO DE AGENTES PÚBLICOS,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,818.78,0.012841990255972461
LEGISLATIVA | CAPACITAÇÃO DE AGENTES PÚBLICOS,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,3,22,61081.8,0.9580252087462552
PREVIDÊNCIA SOCIAL | MANUTENÇÃO ADMINISTRATIVA DO FUNDO DE PR,LOCAL_EXACT_ACTIVE,6,70,11451.72,0.18488503653877442
