cnpj,expected_R$,observed_R$,difference_R$
28556068000170,130999.96,130999.96,-0.0
28677530000198,6975.0,6975.0,0.0
28717167000197,11874.93,11874.93,0.0
28861944000172,568408.46,568408.46,0.0
28927340000181,336976.46,336976.46,-0.0
29404097000180,1422.0,1422.0,0.0
29589364000130,2003.88,2003.88,0.0
29757279000134,8660.0,8660.0,0.0
29882173000162,282619.82,282619.82,-0.0
30050141000180,93196.2,93196.2,0.0
30380856000109,2150.5,2150.5,0.0
30401055000174,3007.5,3007.5,0.0
30468657000149,270931.06,270931.06,0.0
30483455000176,33092.14,33092.14,0.0
30544566000145,79037.0,79037.0,0.0
30632911000100,3000.0,3000.0,0.0
30644818000108,15625.0,15625.0,0.0
30713195000188,46365.04,46365.04,0.0
30759356000174,1626.0,1626.0,0.0
30893349000160,108038.5,108038.5,0.0
30986684000103,5362.76,5362.76,0.0
30994121000167,456.0,456.0,0.0
31228836000171,26094.85,26094.85,0.0
31286638000164,367464.98,367464.98,0.0
31296543000121,767.9,767.9,0.0
31401798000107,4434.2,4434.2,0.0
31722206000159,290.0,290.0,0.0
31912337000107,16000.0,16000.0,0.0
32121534000162,2719.0,2719.0,0.0
32379470000102,130.0,130.0,0.0
32398233000180,27999.0,27999.0,0.0
32593430000150,4465.0,4465.0,0.0
32819954000389,11995.0,11995.0,0.0
33084691000299,90363.0,90363.0,0.0
33159931000196,23531.0,23531.0,0.0
33393503000123,39014.0,39014.0,0.0
33484825000188,3840.0,3840.0,0.0
33683111000107,6408.54,6408.54,0.0
33729746000190,1179648.63,1179648.63,0.0
33827265000117,625800.0,625800.0,0.0
33910508000186,40280.0,40280.0,0.0
34015868000187,37105.0,37105.0,0.0
34028316002661,26573.87,26573.87,0.0
34034228000114,13467.49,13467.49,-0.0
34064557000108,349.5,349.5,0.0
34098668000216,2707.53,2707.53,0.0
34248356000160,649.9,649.9,0.0
34539958000177,52118.92,52118.92,0.0
34637297000112,4140.88,4140.88,0.0
34883104000103,27880.0,27880.0,0.0
34996803000160,50000.0,50000.0,0.0
35011420000158,15000.0,15000.0,0.0
35186472000165,12540.0,12540.0,0.0
35215257000145,9052.38,9052.38,0.0
35250918000173,13738.25,13738.25,0.0
35480107000169,8700.0,8700.0,0.0
35669865000120,48.0,48.0,0.0
36047635000191,2083.0,2083.0,0.0
36138462000117,22560.0,22560.0,0.0
