funcao_subfuncao,territorial_class,vendors,empenhos,pago_R$,share_within_funcao_subfuncao
PREVIDÊNCIA SOCIAL | ADMINISTRAÇÃO GERAL,LOCAL_EXACT_ACTIVE,6,70,11451.72,0.18488503653877442
PREVIDÊNCIA SOCIAL | ADMINISTRAÇÃO GERAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,8,46,50487.96,0.8151149634612256
DESPORTO E LAZER | DESPORTO COMUNITÁRIO,LOCAL_EXACT_ACTIVE,3,4,24010.0,0.4859759210164649
DESPORTO E LAZER | DESPORTO COMUNITÁRIO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,19,21,25395.74,0.5140240789835351
GESTÃO AMBIENTAL | EXTENSÃO RURAL,LOCAL_EXACT_ACTIVE,1,2,49293.85,1.0
SAUDE | ADMINISTRAÇÃO GERAL,LOCAL_EXACT_ACTIVE,4,5,3501.15,0.07809668182508656
SAUDE | ADMINISTRAÇÃO GERAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,2,4012.56,0.08950419765621846
SAUDE | ADMINISTRAÇÃO GERAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,17,21,37317.26,0.832399120518695
SANEAMENTO | SANEAMENTO BÁSICO RURAL,LOCAL_EXACT_ACTIVE,1,1,500.0,0.011574074074074073
SANEAMENTO | SANEAMENTO BÁSICO RURAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,42700.0,0.9884259259259259
ASSISTÊNCIA SOCIAL | ADMINISTRAÇÃO GERAL,LOCAL_EXACT_ACTIVE,6,7,4975.39,0.2397537981734843
ASSISTÊNCIA SOCIAL | ADMINISTRAÇÃO GERAL,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,1,1,1768.32,0.08521169926098975
ASSISTÊNCIA SOCIAL | ADMINISTRAÇÃO GERAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,9,14008.37,0.675034502565526
TRANSPORTE | TRANSPORTE AÉREO,LOCAL_EXACT_ACTIVE,3,4,13685.28,1.0
DESPORTO E LAZER | DESPORTO DE RENDIMENTO,LOCAL_EXACT_ACTIVE,1,2,7024.0,0.5238292334597415
DESPORTO E LAZER | DESPORTO DE RENDIMENTO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,5,8,6384.95,0.4761707665402585
COMÉRCIO E SERVIÇOS | TURISMO,LOCAL_EXACT_ACTIVE,2,4,7062.65,0.5782691676294046
COMÉRCIO E SERVIÇOS | TURISMO,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,2,4,2092.78,0.17135071802106366
COMÉRCIO E SERVIÇOS | TURISMO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,1,2,3058.0,0.2503801143495316
TRABALHO | FOMENTO AO TRABALHO,LOCAL_EXACT_ACTIVE,1,2,10280.0,1.0
ADMINISTRAÇÃO | CONTROLE INTERNO,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,2498.0,1.0
GESTÃO AMBIENTAL | PRESERVAÇÃO E CONSERVAÇÃO AMBIENTAL,LOCAL_EXACT_ACTIVE,1,1,134.99,0.06010267187298252
GESTÃO AMBIENTAL | PRESERVAÇÃO E CONSERVAÇÃO AMBIENTAL,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,3,2111.0,0.9398973281270175
SAUDE | VIGILÂNCIA SANITÁRIA,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,2,2,1310.0,1.0
