item,cluster_id,descricao_item,quantidade,rank_final,cnpj,nome_participante,status_final,valor_global_final_R$,valor_unitario_final_R$,territorial_class,geo_tier,uf,municipio,root_local_active_count,winner_cnpj,winner_geo_tier,winner_value_global_R$,premium_vs_winner_pct
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,3,28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,Classificado,39950.0,15.98,LOCAL_EXACT_ACTIVE,SAO_BORJA,RS,SAO BORJA,2,17379156000128,RS_OTHER,30175.0,32.3944
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,4,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,42375.0,16.95,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,17379156000128,RS_OTHER,30175.0,40.4308
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,5,05117514000145,Instalart Materiais Elétricos LTDA,Classificado,47500.0,19.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ESPUMOSO,0,17379156000128,RS_OTHER,30175.0,57.4151
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,6,21867049000116,USIFER - TERMO CONEXOES LTDA,Classificado,49125.0,19.65,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,MG,POCOS DE CALDAS,0,17379156000128,RS_OTHER,30175.0,62.8003
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,7,01189295000159,Ricardo Ferreira de Carvalho,Classificado,87500.0,35.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PORTO ALEGRE,0,17379156000128,RS_OTHER,30175.0,189.9751
25,T03,"CABO FLEXiVEL 16,00 MM 0,6/1KV - VERDE, ATOX",2500,8,11175931000147,MASTERFER COMERCIO DE FERRAGENS LTDA,Classificado,25000000.0,10000.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,17379156000128,RS_OTHER,30175.0,82750.0414
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,1,37683566000175,TIAGO TURCHETTO PESSOTTO,Arrematante,14580.0,4.05,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,TAQUARUCU DO SUL,0,37683566000175,RS_OTHER,14580.0,0.0
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,2,23143410000197,DFER DISTRIBUIDORA DE FERRAGENS LTDA,Classificado,14688.0,4.08,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,PELOTAS,0,37683566000175,RS_OTHER,14580.0,0.7407
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,3,32246085000189,R. BUSETTO & F. KRUGER LTDA,Classificado,18000.0,5.0,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,RS_OTHER,RS,ERECHIM,0,37683566000175,RS_OTHER,14580.0,23.4568
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,4,50246619000159,D33D COMERCIO LTDA,Classificado,18540.0,5.15,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,RJ,NOVA FRIBURGO,0,37683566000175,RS_OTHER,14580.0,27.1605
30,T04,"CABO PP 2 X 2,5 MM 1KV",3600,5,32005178000111,EMGESA EMPRESA DE GERENCIAMENTO DE SOBRESSALENTES E AUTOMACAO EIRELI,Classificado,19800.0,5.5,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,OTHER_UF,SP,SAO PAULO,0,37683566000175,RS_OTHER,14580.0,35.8025
