cnpj,nome_credor,rubrica,pago_R$,semantic_class
22795601000170,MORABEZA CULTURAL LTDA,SERVIÇOS DE CONSULTORIA,42000.0,UNCLASSIFIED
52692151000151,SAN ANGEL CONSTRUTORA LTDA,OBRAS E INSTALAÇÕES,41907.74,UNCLASSIFIED
42188256000114,ODIMED COMERCIO VAREJISTA DE PRODUTOS DE,MATERIAL DE CONSUMO,41863.95,UNCLASSIFIED
20275382000173,DALBERTO CONSULTORIA E ASSESSORIA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,41417.74,UNCLASSIFIED
90217225000197,AGRIMETAL INDUSTRIA E COM DE MAQUINAS LT,OBRAS E INSTALAÇÕES,39500.0,UNCLASSIFIED
89704522000188,ASSOCIACAO DOS MUNICIPIOS DA FRONTEIRA O,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,39200.0,UNCLASSIFIED
33393503000123,J BORELLA & BORELLA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,39014.0,UNCLASSIFIED
27343163000123,RD INFORMATICA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,38340.0,UNCLASSIFIED
06244192000168,MSM CREATIVE CONFECCOES LTDA,MATERIAL DE CONSUMO,38256.0,UNCLASSIFIED
18136904000104,GUILHERME XAVIER PIVA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,37854.75,UNCLASSIFIED
87519237000161,TELEVISAO URUGUAIANA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,35000.0,UNCLASSIFIED
92885888000105,PAUSE & PERIN - ADVOGADOS ASSOCIADOS,SERVIÇOS DE CONSULTORIA,34954.67,UNCLASSIFIED
08070693000109,COSTA PLANO DE ASSISTENCIA FAMILIAR E EM,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,34000.0,UNCLASSIFIED
30483455000176,INSTITUTO DE ASSISTENCIA A SAUDE DOS SER,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,33092.14,UNCLASSIFIED
24230368000104,ORTOMOBIL INDÚSTRIA E COMÉRCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",32267.76,UNCLASSIFIED
53800800000153,NOBRE HORSE LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,32216.0,UNCLASSIFIED
37952262000166,SC COMERCIO DE PNEUS LTDA,MATERIAL DE CONSUMO,32200.0,UNCLASSIFIED
25386019000149,FARMODONTO PRODUTOS HOSPITALARES LTDA -,MATERIAL DE CONSUMO,31158.5,UNCLASSIFIED
00390052000111,CONTRANSIN - INDUSTRIA E COMERCIO LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,30690.0,UNCLASSIFIED
15759650000192,TAIUR SCHUMACHER - ME,EQUIPAMENTOS E MATERIAL PERMANENTE,30512.0,UNCLASSIFIED
18740207000168,JOHAN E STEFANI LTDA - ME,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",30420.0,UNCLASSIFIED
36757380000150,MEDSANTA COMERCIO DE MEDICAMENTOS E MATE,MATERIAL DE CONSUMO,28226.82,UNCLASSIFIED
34883104000103,RAPIDA INDUSTRIA DE PRODUTOS PARA SAUDE,MATERIAL DE CONSUMO,27880.0,UNCLASSIFIED
09031569000199,CITTA INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,27871.48,UNCLASSIFIED
49648233000194,SSZ DISTRIBUIDORA DE MEDICAMENTOS LTDA,MATERIAL DE CONSUMO,27733.4,UNCLASSIFIED
42572060000129,PORTO ATACADISTA LTDA,MATERIAL DE CONSUMO,27267.06,UNCLASSIFIED
24802687000309,"HS COMERCIO, LOCACAO E MANUTENCAO DE EQU",EQUIPAMENTOS E MATERIAL PERMANENTE,27170.0,UNCLASSIFIED
04998667000186,EQUIPAR GASTRO ACESSÓRIOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,26700.0,UNCLASSIFIED
58951274000146,RAFAEL L. SCHRAMM,MATERIAL DE CONSUMO,26392.0,UNCLASSIFIED
23639923000193,CONS. INTERM. DE DESENV. DO PAMPA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,26195.6,UNCLASSIFIED
13021017000177,DPM EDUCAÇÃO LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,26114.0,UNCLASSIFIED
31228836000171,ORTOBRAS INDUSTRIA E COMERCIO DE ORTOPED,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",26094.85,UNCLASSIFIED
11417674000455,ACTE-ASSOCIAÇÃO COMUNIDADE TERAPEUTICA E,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,25996.0,UNCLASSIFIED
51365151000184,VIGA PRE MOLDADOS LTDA,OBRAS E INSTALAÇÕES,25983.11,UNCLASSIFIED
04939481000156,FUNMISSÕES - FUND. MUNIC. MISSÕES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,25830.0,UNCLASSIFIED
94516671000153,CIRURGICA SANTA CRUZ COM. PROD. HOSP. LT,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",25048.04,UNCLASSIFIED
57775539000130,GEO MARKT COMUNICACAO ESTRATEGICA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,24980.0,UNCLASSIFIED
89989255000132,ASSOCIACAO DOS MUNICIPIOS DAS MISSOES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,23930.0,UNCLASSIFIED
33159931000196,PORTO UNIAO COMERCIO E REPRESENTACAO LTD,MATERIAL DE CONSUMO,23531.0,UNCLASSIFIED
00472805000308,TRACADO CONSTRUCOES E SERVICOS LTDA,MATERIAL DE CONSUMO,23492.0,UNCLASSIFIED
23720752000122,JARDIM DISTRIBUIDORA DE COSMETICOS LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",21870.0,UNCLASSIFIED
14481040000107,GRÁFICA GRGRAF EIRELI,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,21301.02,UNCLASSIFIED
00703157000183,CONFEDERAÇÃO NACIONAL DE MUNICIPIOS - CN,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,21282.0,UNCLASSIFIED
10759369000136,ARGAVALE DISTRIBUIDORA DE MATERIAIS DE C,MATERIAL DE CONSUMO,20769.0,UNCLASSIFIED
01952684000194,G3 COMERCIAL LTDA,MATERIAL DE CONSUMO,20616.98,UNCLASSIFIED
47459386000168,ANDRELIS DISTRIBUIDORA LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,20449.0,UNCLASSIFIED
09654067000114,EXCLUSIVACAO - EDUCACAO E DESENVOLVIMENT,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,19000.0,UNCLASSIFIED
27171625000172,KENYA OLIVEIRA FERNANDES LIMA SOARES ME,EQUIPAMENTOS E MATERIAL PERMANENTE,18799.86,UNCLASSIFIED
58390067000160,"BERTANI, OLIVEIRA & HASSTENTEUFEL ADVOGA",OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,18700.0,UNCLASSIFIED
87124582000104,PROCERGS - CENTRO DE TECNOLOGIA DA INFO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,18040.87,UNCLASSIFIED
19498639000177,BERTA INDUSTRIA E COMERCIO DE FRALDAS LT,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",18000.0,UNCLASSIFIED
23969712000119,L.J. BREDOW REPRESENTAÇÕES,MATERIAL DE CONSUMO,17487.95,UNCLASSIFIED
11145401000156,L.A DALLA PORTA JUNIOR,MATERIAL DE CONSUMO,17387.32,UNCLASSIFIED
47076858000101,SPORTSUL EVENTOS ESPORTIVOS LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,17080.0,UNCLASSIFIED
46388826000170,OCIAN  COMERCIAL FARMACEUTICA UNIPESSOAL,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",16496.7,UNCLASSIFIED
97530228000125,R. DE O. SANTIL EPI,MATERIAL DE CONSUMO,16200.5,UNCLASSIFIED
03404393000197,JS SERVICOS DE ENGENHARIA LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",16099.2,UNCLASSIFIED
28114183000195,CONSULTORIA EDUCACAO E ACAO LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,15980.0,UNCLASSIFIED
51954194000103,ZAMPIERE VOLPATTO SOLUCOES INTEGRADAS LT,EQUIPAMENTOS E MATERIAL PERMANENTE,15839.0,UNCLASSIFIED
40214888000180,CLS SERVICOS E ASSESSORIA LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,15589.9,UNCLASSIFIED
48346978000136,DAMED DISTRIBUIDORA DE MEDICAMENTOS E MA,MATERIAL DE CONSUMO,15505.8,UNCLASSIFIED
26270786000150,BAGE ELEVADORES LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,15493.15,UNCLASSIFIED
00802002000102,ALTERMED MATERIAL MEDICO HOSPITALAR LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",15212.39,UNCLASSIFIED
76386283000113,DIMEVA DISTRIBUIDORA DE MEDICAMENTOS LTD,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",15039.94,UNCLASSIFIED
18342297000139,SANDRO ALEXANDRE COELHO LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,15000.0,UNCLASSIFIED
35011420000158,35.011.420 JOSE DESIDERIO LUZ DE SOUZA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,15000.0,UNCLASSIFIED
42338388000185,42.338.388 CARLOS ANSELMO FONTANELLA,MATERIAL DE CONSUMO,14967.65,UNCLASSIFIED
26979673000129,JARDEL JACOBS PEREIRA DA SILVA,MATERIAL DE CONSUMO,14726.4,UNCLASSIFIED
04071245000160,"LICIMED DISTRIBUIDORA DE MEDICAMENTOS, C","MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",13920.0,UNCLASSIFIED
01568077003655,B-GREEN GESTÃO AMBIENTAL S.A.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,13850.0,UNCLASSIFIED
24531333000105,NEOFINE PIGMENTOS E DISPERSÕES INDÚS,MATERIAL DE CONSUMO,13750.0,UNCLASSIFIED
35250918000173,L FERREIRA DA COSTA DISTRIBUIDORA DE MED,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",13738.25,UNCLASSIFIED
02150800000114,KALINOVSKI E KALINOVSKI LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,13570.0,UNCLASSIFIED
14767899000187,GRA ASSESSORIA E CONSULTORIA EMNEGOCIOS,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,13484.0,UNCLASSIFIED
34034228000114,NOVO HORIZONTE COMERCIO DE PRODUTOS E AC,MATERIAL DE CONSUMO,13467.49,UNCLASSIFIED
07797967000195,NP TECNOLOGIA E GESTAO DE DADOS LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,13291.98,UNCLASSIFIED
23457564000153,AJM INSUMOS INDUSTRIAIS EIRELI,MATERIAL DE CONSUMO,12871.67,UNCLASSIFIED
40331916000149,RAFHAELA BUENO DE LOURENCO,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12396.03,UNCLASSIFIED
92859768000133,CONS. SEC. MUNIC. SAÚDE RS - COSEMS-RS,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12334.08,UNCLASSIFIED
41507227000105,JAB COMERCIO E DISTRIBUICAO DE PRODUTOS,MATERIAL DE CONSUMO,12292.07,UNCLASSIFIED
37954602000198,USIBRAS INDUSTRIA E COMERCIO DE VIDROS L,MATERIAL DE CONSUMO,12240.0,UNCLASSIFIED
22673037000113,SINALIR JOSE DOTTO,MATERIAL DE CONSUMO,12198.0,UNCLASSIFIED
01484706000139,IGAM-INSTIT.GAMMA DE ASSES.ORGAO PUBL.S/,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12170.17,UNCLASSIFIED
19822275000139,BRUNA SANTOS DE ALMEIDA 03124299086,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,12000.0,UNCLASSIFIED
55875621000100,BS COLORS COMERCIO DE TINTAS LTDA,MATERIAL DE CONSUMO,11830.0,UNCLASSIFIED
88993175000198,UVERGS-UNIAO DOS VEREADORES DO RS.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,11640.0,UNCLASSIFIED
92021062000106,HOSPITAL SÃO VICENTE DE PAULA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",11500.0,UNCLASSIFIED
13062485000270,TIO MARIO EMBALAGENS LTDA,MATERIAL DE CONSUMO,11427.9,UNCLASSIFIED
52496119000109,B. D. R. COMERCIO DE EQUIPAMENTOS LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,11150.0,UNCLASSIFIED
12541620000117,SERIBAND INDÚSTRIA E COMERCIO DE CONFECÇ,MATERIAL DE CONSUMO,11084.0,UNCLASSIFIED
17983017000109,CASSIANO RICARDO FROES SUTHERLAND,MATERIAL DE CONSUMO,11068.86,UNCLASSIFIED
15318347000154,D.S.E. INDUSTRIA E COMERCIO DE MOVEIS DE,EQUIPAMENTOS E MATERIAL PERMANENTE,10817.32,UNCLASSIFIED
27403752000150,KAPRICHO DITRIBUIDORA LTDA,MATERIAL DE CONSUMO,10794.3,UNCLASSIFIED
22862531000126,TOP NORTE COMERCIO DE MATERIAL MEDICO HO,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",10762.12,UNCLASSIFIED
48911914000130,D S J CONFECCOES LTDA,MATERIAL DE CONSUMO,10680.0,UNCLASSIFIED
76535764000143,OI S.A. - EM RECUPERACAO JUDICIAL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,10512.51,UNCLASSIFIED
44639579000102,OESTE PRODUTOS DE LIMPEZA LTDA,MATERIAL DE CONSUMO,10474.3,UNCLASSIFIED
27075106000100,NOVIDÁ INDÚSTRIA E COMÉRCIO DE MÓVEIS LT,EQUIPAMENTOS E MATERIAL PERMANENTE,10444.0,UNCLASSIFIED
