id_credor,cnpj,nome_credor,pago_R$,classificacao,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count
147879,03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,157350.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8649,ESTANCIA VELHA,0
147913,11666105000362,DELLAMED S.A.,154204.13,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SC,8221,NAVEGANTES,0
150694,23870217000158,GLOBAL MED SERVICOS EM SAUDE LTDA,149085.3,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
6160,88409537000150,EMPRESA SÃO BORJENSE DE COMUNICAÇÕES LT,146937.32,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
129485,02405070000155,OLINA IRACEMA BALBE CORREA LTDA,146780.77,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8857,SANTO ANTONIO DAS MISSOES,0
2881,00000000018724,BANCO DO BRASIL S/A,146621.58,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
144230,44946936000185,ASSOC. GRUPO DE MÃES ESPEC. DE SÃO BORJA,143100.92,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
120241,87934675000196,ESTADO DO RIO GRANDE DO SUL,137267.18,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
51496,08345339000131,DE ROSSO TRANSPORTES LTDA,136549.55,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
153915,32678022000100,SECRETARIA DE DESENVOLVIMENTO URBANO E M,133049.44,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
69195,28556068000170,AEF LABORATÓRIO DE ANÁLISES CLÍNICAS EIR,130999.96,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
44444,08379462000173,WM PESQUISAS CLÍNICAS LTDA,130999.96,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
11680,90188525000195,LABORAN LABORATORIO DE BIOANALISES LTDA,130999.65,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
9771,90327297000197,LABORATORIO APPEL DE ANALISES CLINICAS L,130999.4,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
5055,90791609000119,DF - ANALISES CLINICAS LTDA.,130819.73,LOCAL_EXACT,02,RS,8863,SAO BORJA,3
55112,15170395000148,LABORATORIO DE ANALISES CLINICAS SAO BOR,130486.62,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
150857,54887860000118,MM PRODUTOS AUTOMOTIVOS LTDA.,130475.2,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,6063,SAO PEDRO DO BUTIA,0
6494,01304858000102,ETIO AMARILHO MATTES & CIA LTDA,130062.3,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
54835,89161475000173,ASSOC RIOGR DE EMPR DE ASSIST TEC E EXTE,130058.25,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
17551,02960111000175,LABORATORIO DE ANALISES CLINICAS RIGO LT,129381.4,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
128343,27105456000172,MEDICENTRO COMERCIO DE MEDICAMENTOS LTDA,125184.36,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8841,SANTA MARIA,0
122246,91525790000184,FELICE AUTOMOVEIS LTDA,124900.0,ROOT_WITH_LOCAL_FOOTPRINT,02,RS,8851,SANTIAGO,1
128369,29979036000140,I.N.S.S - INST. NAC. SEG. SOCIAL,123226.65,ROOT_WITH_LOCAL_FOOTPRINT,02,DF,9701,BRASILIA,1
45731,08371527000134,LUCIANO MACHADO CORREA,122458.25,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
70466,05782733000149,CIAMED - DISTRIBUIDORA DE MEDICAMENTOS L,120562.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8633,ENCANTADO,0
2930,72309164000106,BATAIOLLI BOMBAS INJETORAS LTDA.,111402.5,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
152310,55623647000161,GAMA PNEUS LTDA,110213.78,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8543,BOA VISTA DO BURICA,0
42384,07201428000141,K-NON COMERCIO DE PECAS PRA CAMINHOES LT,108854.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
65158,26391065000107,MEDBORJA MEDICOS ASSOCIADOS S/S LTDA,108203.41,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
69917,30893349000160,VITALE LTDA,108038.5,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
47162,09674510000119,LOPES  GRUENDEMANN COMERCIO DE MATERIAIS,104260.66,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
147115,44734671002286,CRISTÁLIA PRODUTOS QUIMICOS FARMACEUTICO,103584.31,EXTERNAL_NO_LOCAL_FOOTPRINT,02,SP,6553,ITAPIRA,0
18781,92962869001530,ASSOCIAÇÃO DE LITERATURA E BENEFICÊNCIA,100000.0,LOCAL_EXACT,02,RS,8863,SAO BORJA,2
66850,05144411000174,JOSE AUGUSTO DA SILVA RODRIGUES & CIA LT,96648.46,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
92806,06294126000100,SOMA/RS PRODUTOS HOSPITALARES LTDA,93269.92,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8423,ELDORADO DO SUL,0
128370,30050141000180,INLEGIS CONSULTORIA E TREINAMENTO EIRELI,93196.2,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
154847,43800726000111,SECRETARIA DE TRABALHO E DESENVOLVIMENTO,93051.62,EXTERNAL_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0
63080,23643693000136,AUTO PEÇAS IRMÃOS ROBALO LTDA,92379.01,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
149341,26991097000135,SIGMA MAQUINAS E REPRESENTACOES LTDA,91200.0,EXTERNAL_NO_LOCAL_FOOTPRINT,02,MG,5049,POUSO ALEGRE,0
150526,57530637000107,T.M.F FALCAO LTDA,91121.76,LOCAL_EXACT,02,RS,8863,SAO BORJA,1
