item,descricao,quantidade,unidade,valor_unit_ref_R$,familia,valor_estimado_item_R$,source_class,source_url,status
37,Cabo multiplex 2x10mm 750V alumínio,1700,m,3.04,CONDUTORES,5168.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
38,Eletroduto ferro galvanizado 3/4,520,m,23.71,INFRA_INSTALACAO,12329.20,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
39,Tampa cega caixa eletroduto,300,un,4.43,INFRA_INSTALACAO,1329.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
40,Plug macho 3P 20A,613,un,4.60,COMANDO_CONEXAO,2819.80,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
41,"Cabo flexível 16mm 0,6/1kV preto ATOX",1500,m,21.68,CONDUTORES,32520.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
42,Fio rígido 6mm verde,1000,m,6.76,CONDUTORES,6760.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
43,Fio rígido 6mm azul,1200,m,6.76,CONDUTORES,8112.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
44,Plug macho 3P 10A,625,un,2.93,COMANDO_CONEXAO,1831.25,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
45,"Cabo flexível 2,5mm verde ATOX",4100,m,2.55,CONDUTORES,10455.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
46,Cabo flexível 6mm vermelho ATOX,3000,m,4.25,CONDUTORES,12750.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
47,Cabo flexível 10mm vermelho ATOX,1400,m,5.75,CONDUTORES,8050.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
48,Tampa caixa eletroduto metálica 3/4 p/ tomada,400,un,3.42,INFRA_INSTALACAO,1368.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
49,Cabo multiplex 4x16mm 1kV alumínio,3820,m,11.92,CONDUTORES,45534.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
50,Interruptor interno 2x4 2 seção,322,un,10.18,COMANDO_CONEXAO,3277.96,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
51,Tomada para condulete galvanizado 2P+T 10A,160,un,6.59,COMANDO_CONEXAO,1054.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
52,Interruptor interno 2x4 3 teclas,510,un,9.06,COMANDO_CONEXAO,4620.60,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
53,Interruptor interno 2x4 1 seção com tomada,532,un,7.04,COMANDO_CONEXAO,3745.28,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
54,Bucha nylon 8mm,2240,un,0.10,FERRAGENS_FIXACAO,224.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
55,Canaleta sistema X 20x10x2,1365,un,5.31,INFRA_INSTALACAO,7248.15,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
56,Eletroduto PVC 3/4 vara 3m,760,un,7.93,INFRA_INSTALACAO,6026.80,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
57,Tomada 2P+T com placa acabamento,200,un,5.67,COMANDO_CONEXAO,1134.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
58,Refletor LED 50W,270,un,20.30,ILUMINACAO,5481.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
59,Refletor LED 100W,270,un,31.82,ILUMINACAO,8591.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
60,Refletor LED 200W,1070,un,50.69,ILUMINACAO,54238.30,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
61,IDR 30mA 25A,355,un,64.25,PROTECAO_DISTRIBUICAO,22808.75,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
62,IDR 30mA 40A,360,un,59.24,PROTECAO_DISTRIBUICAO,21326.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
63,Disjuntor DIN unipolar 10A,350,un,5.72,PROTECAO_DISTRIBUICAO,2002.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
64,Disjuntor DIN unipolar 20A,450,un,6.55,PROTECAO_DISTRIBUICAO,2947.50,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
65,Disjuntor DIN unipolar 25A,380,un,6.55,PROTECAO_DISTRIBUICAO,2489.00,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
66,Disjuntor DIN unipolar 32A,380,un,5.98,PROTECAO_DISTRIBUICAO,2272.40,SECONDARY_INDEXER,https://mabus.com.br/licitacao/3630558/pregao-eletronico-municipio-de-sao-borja-sao-borja-rs,PENDING_OFFICIAL_RECONCILIATION
