_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,rotulo
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.12.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.12.0.0 - Transferências de Recursos do Fundo Nacional de Assistência Social ¿ FNAS,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.99.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.99.0.0 Outras Transferências da União,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.0.00.0.0,4318002,Receitas Brutas Realizadas,1.7.2.0.00.0.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.0.00.0.0,4318002,Deduções - FUNDEB,1.7.2.0.00.0.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.0.00.0.0,4318002,Outras Deduções da Receita,1.7.2.0.00.0.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.7.2.8.00.0.0 Transferências dos Estados - Específicas de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.00.0.0,4318002,Deduções - FUNDEB,"1.7.2.8.00.0.0 Transferências dos Estados - Específicas de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.00.0.0,4318002,Outras Deduções da Receita,"1.7.2.8.00.0.0 Transferências dos Estados - Específicas de Estados, DF e Municípios",2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.0.0,4318002,Receitas Brutas Realizadas,1.7.2.8.01.0.0 Participação na Receita dos Estados,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.0.0,4318002,Deduções - FUNDEB,1.7.2.8.01.0.0 Participação na Receita dos Estados,2019,Padrão
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.2.8.01.0.0,4318002,Outras Deduções da Receita,1.7.2.8.01.0.0 Participação na Receita dos Estados,2019,Padrão
