_annex_requested,_exercise,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,instituicao,populacao,rotulo,uf,valor
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.2.4.0.00.0.0,4318002,Receitas Brutas Realizadas,1.2.4.0.00.0.0 - Contribuição para o Custeio do Serviço de Iluminação Pública,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,2601836.33
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.3.0.0.00.0.0 - Receita Patrimonial,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,13795905.93
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.0.0.00.0.0,4318002,Outras Deduções da Receita,1.3.0.0.00.0.0 - Receita Patrimonial,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3500
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,388101.35
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.00.0.0,4318002,Outras Deduções da Receita,1.3.1.0.00.0.0 - Exploração do Patrimônio Imobiliário do Estado,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3500
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.01.0.0,4318002,Receitas Brutas Realizadas,"1.3.1.0.01.0.0 - Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,388101.35
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.01.0.0,4318002,Outras Deduções da Receita,"1.3.1.0.01.0.0 - Aluguéis, Arrendamentos, Foros, Laudêmios, Tarifas de Ocupação",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3500
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.01.1.0,4318002,Receitas Brutas Realizadas,1.3.1.0.01.1.0 - Aluguéis e Arrendamentos,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,80431.61
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.01.2.0,4318002,Receitas Brutas Realizadas,"1.3.1.0.01.2.0 - Foros, Laudêmios e Tarifas de Ocupação",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,307669.74
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.1.0.01.2.0,4318002,Outras Deduções da Receita,"1.3.1.0.01.2.0 - Foros, Laudêmios e Tarifas de Ocupação",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,3500
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.2.0.00.0.0,4318002,Receitas Brutas Realizadas,1.3.2.0.00.0.0 - Valores Mobiliários,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,12957804.58
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.2.1.00.0.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.0.0 - Juros e Correções Monetárias,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,12957804.58
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.2.1.00.1.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.1.0 - Remuneração de Depósitos Bancários,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,303972.17
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.2.1.00.4.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.4.0 - Remuneração dos Recursos do Regime Próprio de Previdência Social - RPPS,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,12449606.02
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.2.1.00.5.0,4318002,Receitas Brutas Realizadas,1.3.2.1.00.5.0 - Juros de Títulos de Renda,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,204226.39
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.3.6.0.00.0.0,4318002,Receitas Brutas Realizadas,1.3.6.0.00.0.0 - Cessão de Direitos,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,450000
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.6.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.6.0.0.00.0.0 - Receita de Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,877321.31
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.6.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.6.1.0.00.0.0 - Serviços Administrativos e Comerciais Gerais,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,581195.32
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.6.1.0.02.0.0,4318002,Receitas Brutas Realizadas,1.6.1.0.02.0.0 - Inscrição em Concursos e Processos Seletivos,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,581195.32
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.6.9.0.00.0.0,4318002,Receitas Brutas Realizadas,1.6.9.0.00.0.0 - Outros Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,296125.99
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.6.9.0.99.0.0,4318002,Receitas Brutas Realizadas,1.6.9.0.99.0.0 - Outros Serviços,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,296125.99
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Receitas Brutas Realizadas,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,160074494.3
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Deduções - FUNDEB,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,17685826.44
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.0.0.00.0.0,4318002,Outras Deduções da Receita,1.7.0.0.00.0.0 - Transferências Correntes,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,155.69
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.0.00.0.0,4318002,Receitas Brutas Realizadas,1.7.1.0.00.0.0 - Transferências da União e de suas Entidades,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,73020648.63
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.0.00.0.0,4318002,Deduções - FUNDEB,1.7.1.0.00.0.0 - Transferências da União e de suas Entidades,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7095806.32
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.00.0.0,4318002,Receitas Brutas Realizadas,"1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,73020648.63
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.00.0.0,4318002,Deduções - FUNDEB,"1.7.1.8.00.0.0 Transferências da União - Específicas de Estados, DF e Municípios",2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,7095806.32
DCA-Anexo I-C,2019,DCA-Anexo I-C,RO1.7.1.8.01.0.0,4318002,Receitas Brutas Realizadas,1.7.1.8.01.0.0 Participação na Receita da União,2019,Prefeitura Municipal de São Borja - RS,60557,Padrão,RS,38264164.99
