year,function,stage,value_R$,source,nature
2020,08 - Assistência Social,Despesas Liquidadas,6049470.65,SICONFI DCA Anexo I-E,observed
2020,09 - Previdência Social,Despesas Liquidadas,23833377.22,SICONFI DCA Anexo I-E,observed
2020,10 - Saúde,Despesas Liquidadas,65554716.1,SICONFI DCA Anexo I-E,observed
2020,12 - Educação,Despesas Liquidadas,43776892.15,SICONFI DCA Anexo I-E,observed
2020,13 - Cultura,Despesas Liquidadas,851523.82,SICONFI DCA Anexo I-E,observed
2020,14 - Direitos da Cidadania,Despesas Liquidadas,1500.59,SICONFI DCA Anexo I-E,observed
2020,15 - Urbanismo,Despesas Liquidadas,12046802.14,SICONFI DCA Anexo I-E,observed
2020,16 - Habitação,Despesas Liquidadas,6621.57,SICONFI DCA Anexo I-E,observed
2020,17 - Saneamento,Despesas Liquidadas,619018.54,SICONFI DCA Anexo I-E,observed
2020,18 - Gestão Ambiental,Despesas Liquidadas,46220.05,SICONFI DCA Anexo I-E,observed
2020,20 - Agricultura,Despesas Liquidadas,627297.28,SICONFI DCA Anexo I-E,observed
2020,23 - Comércio e Serviços,Despesas Liquidadas,218470.32,SICONFI DCA Anexo I-E,observed
2020,26 - Transporte,Despesas Liquidadas,129235.27,SICONFI DCA Anexo I-E,observed
2020,27 - Desporto e Lazer,Despesas Liquidadas,484161.57,SICONFI DCA Anexo I-E,observed
2020,28 - Encargos Especiais,Despesas Liquidadas,9047698.11,SICONFI DCA Anexo I-E,observed
2020,01 - Legislativa,Despesas Pagas,6338685.46,SICONFI DCA Anexo I-E,observed
2020,04 - Administração,Despesas Pagas,21775488.03,SICONFI DCA Anexo I-E,observed
2020,06 - Segurança Pública,Despesas Pagas,537350.61,SICONFI DCA Anexo I-E,observed
2020,08 - Assistência Social,Despesas Pagas,5883684.43,SICONFI DCA Anexo I-E,observed
2020,09 - Previdência Social,Despesas Pagas,23833377.22,SICONFI DCA Anexo I-E,observed
2020,10 - Saúde,Despesas Pagas,63962945.07,SICONFI DCA Anexo I-E,observed
2020,12 - Educação,Despesas Pagas,42858037.72,SICONFI DCA Anexo I-E,observed
2020,13 - Cultura,Despesas Pagas,847228.1,SICONFI DCA Anexo I-E,observed
2020,14 - Direitos da Cidadania,Despesas Pagas,1500.59,SICONFI DCA Anexo I-E,observed
2020,15 - Urbanismo,Despesas Pagas,10350462.82,SICONFI DCA Anexo I-E,observed
2020,16 - Habitação,Despesas Pagas,6621.57,SICONFI DCA Anexo I-E,observed
2020,17 - Saneamento,Despesas Pagas,619018.54,SICONFI DCA Anexo I-E,observed
2020,18 - Gestão Ambiental,Despesas Pagas,44428.05,SICONFI DCA Anexo I-E,observed
2020,20 - Agricultura,Despesas Pagas,594059.28,SICONFI DCA Anexo I-E,observed
2020,23 - Comércio e Serviços,Despesas Pagas,218470.32,SICONFI DCA Anexo I-E,observed
2020,26 - Transporte,Despesas Pagas,127965.27,SICONFI DCA Anexo I-E,observed
2020,27 - Desporto e Lazer,Despesas Pagas,356994.84,SICONFI DCA Anexo I-E,observed
2020,28 - Encargos Especiais,Despesas Pagas,8867987.8,SICONFI DCA Anexo I-E,observed
2021,01 - Legislativa,Despesas Empenhadas,6425586.13,SICONFI DCA Anexo I-E,observed
2021,04 - Administração,Despesas Empenhadas,24737005.23,SICONFI DCA Anexo I-E,observed
2021,06 - Segurança Pública,Despesas Empenhadas,342239.49,SICONFI DCA Anexo I-E,observed
2021,08 - Assistência Social,Despesas Empenhadas,6214041.42,SICONFI DCA Anexo I-E,observed
2021,09 - Previdência Social,Despesas Empenhadas,25717835.39,SICONFI DCA Anexo I-E,observed
2021,10 - Saúde,Despesas Empenhadas,73777637.77,SICONFI DCA Anexo I-E,observed
2021,12 - Educação,Despesas Empenhadas,49993911.14,SICONFI DCA Anexo I-E,observed
2021,13 - Cultura,Despesas Empenhadas,202023.26,SICONFI DCA Anexo I-E,observed
2021,14 - Direitos da Cidadania,Despesas Empenhadas,1357.13,SICONFI DCA Anexo I-E,observed
2021,15 - Urbanismo,Despesas Empenhadas,13138764.3,SICONFI DCA Anexo I-E,observed
2021,16 - Habitação,Despesas Empenhadas,1363.15,SICONFI DCA Anexo I-E,observed
2021,17 - Saneamento,Despesas Empenhadas,187076.36,SICONFI DCA Anexo I-E,observed
2021,18 - Gestão Ambiental,Despesas Empenhadas,137395.07,SICONFI DCA Anexo I-E,observed
2021,20 - Agricultura,Despesas Empenhadas,1000143.83,SICONFI DCA Anexo I-E,observed
2021,23 - Comércio e Serviços,Despesas Empenhadas,180020.59,SICONFI DCA Anexo I-E,observed
2021,26 - Transporte,Despesas Empenhadas,179484.99,SICONFI DCA Anexo I-E,observed
2021,27 - Desporto e Lazer,Despesas Empenhadas,135552.13,SICONFI DCA Anexo I-E,observed
2021,28 - Encargos Especiais,Despesas Empenhadas,10663971.93,SICONFI DCA Anexo I-E,observed
2021,01 - Legislativa,Despesas Liquidadas,6250750.38,SICONFI DCA Anexo I-E,observed
2021,04 - Administração,Despesas Liquidadas,24262512.93,SICONFI DCA Anexo I-E,observed
2021,06 - Segurança Pública,Despesas Liquidadas,319912.93,SICONFI DCA Anexo I-E,observed
