regime,position_date,page,cnae,count
SINAC,12/09/2026,3,4789002,10
SINAC,12/09/2026,3,4789003,1
SINAC,12/09/2026,3,4789004,38
SINAC,12/09/2026,3,4789005,15
SINAC,12/09/2026,3,4789007,5
SINAC,12/09/2026,3,4789008,6
SINAC,12/09/2026,3,4789009,1
SINAC,12/09/2026,3,4789099,73
SINAC,12/09/2026,3,4921301,2
SINAC,12/09/2026,3,4923001,6
SINAC,12/09/2026,3,4923002,99
SINAC,12/09/2026,3,4924800,9
SINAC,12/09/2026,3,4929901,10
SINAC,12/09/2026,3,4929902,5
SINAC,12/09/2026,3,4929904,3
SINAC,12/09/2026,3,4930201,124
SINAC,12/09/2026,3,4930202,330
SINAC,12/09/2026,3,4930203,2
SINAC,12/09/2026,3,4930204,9
SINAC,12/09/2026,3,5099899,1
SINAC,12/09/2026,3,5211702,1
SINAC,12/09/2026,3,5212500,10
SINAC,12/09/2026,3,5223100,5
SINAC,12/09/2026,3,5229002,3
SINAC,12/09/2026,3,5229099,4
SINAC,12/09/2026,3,5240199,2
SINAC,12/09/2026,3,5250801,3
SINAC,12/09/2026,3,5250802,8
SINAC,12/09/2026,3,5250803,2
SINAC,12/09/2026,3,5250804,2
SINAC,12/09/2026,3,5320201,20
SINAC,12/09/2026,3,5320202,67
SINAC,12/09/2026,3,5510801,14
SINAC,12/09/2026,3,5510802,1
SINAC,12/09/2026,3,5510803,3
SINAC,12/09/2026,3,5590603,1
SINAC,12/09/2026,3,5590699,8
SINAC,12/09/2026,3,5611201,65
SINAC,12/09/2026,3,5611203,161
SINAC,12/09/2026,3,5611204,37
SINAC,12/09/2026,3,5611205,18
SINAC,12/09/2026,3,5612100,62
SINAC,12/09/2026,3,5620101,18
SINAC,12/09/2026,3,5620102,13
SINAC,12/09/2026,3,5620103,3
SINAC,12/09/2026,3,5620104,121
SINAC,12/09/2026,3,5811500,1
SINAC,12/09/2026,3,5812301,4
SINAC,12/09/2026,3,5812302,3
SINAC,12/09/2026,3,5813100,6
SINAC,12/09/2026,3,5819100,14
SINAC,12/09/2026,3,5911101,1
SINAC,12/09/2026,3,5911199,3
SINAC,12/09/2026,3,5912099,16
SINAC,12/09/2026,3,5913800,1
SINAC,12/09/2026,3,5914600,1
SINAC,12/09/2026,3,5920100,1
SINAC,12/09/2026,3,6010100,3
SINAC,12/09/2026,3,6110803,5
SINAC,12/09/2026,3,6190601,2
SINAC,12/09/2026,3,6190699,3
SINAC,12/09/2026,3,6201501,5
SINAC,12/09/2026,3,6202300,4
SINAC,12/09/2026,3,6203100,4
SINAC,12/09/2026,3,6209100,1
SINAC,12/09/2026,4,6311900,3
SINAC,12/09/2026,4,6319400,1
SINAC,12/09/2026,4,6391700,1
SINAC,12/09/2026,4,6399200,2
SINAC,12/09/2026,4,6619302,2
SINAC,12/09/2026,4,6622300,10
SINAC,12/09/2026,4,6821801,9
SINAC,12/09/2026,4,6821802,8
SINAC,12/09/2026,4,6822600,1
SINAC,12/09/2026,4,6911701,39
SINAC,12/09/2026,4,6920601,36
SINAC,12/09/2026,4,7020400,12
SINAC,12/09/2026,4,7111100,7
SINAC,12/09/2026,4,7112000,12
SINAC,12/09/2026,4,7119701,1
SINAC,12/09/2026,4,7119703,2
SINAC,12/09/2026,4,7119704,1
SINAC,12/09/2026,4,7120100,3
SINAC,12/09/2026,4,7311400,2
SINAC,12/09/2026,4,7312200,1
SINAC,12/09/2026,4,7319002,166
SINAC,12/09/2026,4,7319003,12
SINAC,12/09/2026,4,7319004,1
SINAC,12/09/2026,4,7319099,12
SINAC,12/09/2026,4,7410202,2
SINAC,12/09/2026,4,7410299,1
SINAC,12/09/2026,4,7420001,22
SINAC,12/09/2026,4,7420004,3
SINAC,12/09/2026,4,7490101,1
SINAC,12/09/2026,4,7490102,1
SINAC,12/09/2026,4,7490103,24
SINAC,12/09/2026,4,7490104,9
SINAC,12/09/2026,4,7490105,1
SINAC,12/09/2026,4,7500100,11
SINAC,12/09/2026,4,7711000,3
SINAC,12/09/2026,4,7721700,12
SINAC,12/09/2026,4,7722500,3
SINAC,12/09/2026,4,7723300,4
SINAC,12/09/2026,4,7729202,2
SINAC,12/09/2026,4,7731400,5
SINAC,12/09/2026,4,7732201,1
SINAC,12/09/2026,4,7739003,3
SINAC,12/09/2026,4,7739099,2
SINAC,12/09/2026,4,7810800,1
SINAC,12/09/2026,4,7911200,11
SINAC,12/09/2026,4,7990200,2
SINAC,12/09/2026,4,8011101,2
SINAC,12/09/2026,4,8020001,2
SINAC,12/09/2026,4,8020002,2
SINAC,12/09/2026,4,8111700,4
SINAC,12/09/2026,4,8122200,3
SINAC,12/09/2026,4,8129000,6
