query,table_index,row_index,cells_json
simei_cnae,2,55,"[""SAO BORJA - 3299006"", ""3""]"
simei_cnae,2,56,"[""SAO BORJA - 3299099"", ""31""]"
simei_cnae,2,57,"[""SAO BORJA - 3313901"", ""1""]"
simei_cnae,2,58,"[""SAO BORJA - 3313999"", ""1""]"
simei_cnae,2,59,"[""SAO BORJA - 3314702"", ""2""]"
simei_cnae,2,60,"[""SAO BORJA - 3314707"", ""5""]"
simei_cnae,2,61,"[""SAO BORJA - 3314710"", ""3""]"
simei_cnae,2,62,"[""SAO BORJA - 3314711"", ""39""]"
simei_cnae,2,63,"[""SAO BORJA - 3314712"", ""24""]"
simei_cnae,2,64,"[""SAO BORJA - 3314719"", ""1""]"
simei_cnae,2,65,"[""SAO BORJA - 3317102"", ""1""]"
simei_cnae,2,66,"[""SAO BORJA - 3319800"", ""4""]"
simei_cnae,2,67,"[""SAO BORJA - 3321000"", ""9""]"
simei_cnae,2,68,"[""SAO BORJA - 3329501"", ""27""]"
simei_cnae,2,69,"[""SAO BORJA - 3831901"", ""1""]"
simei_cnae,2,70,"[""SAO BORJA - 4321500"", ""109""]"
simei_cnae,2,71,"[""SAO BORJA - 4322301"", ""13""]"
simei_cnae,2,72,"[""SAO BORJA - 4322302"", ""35""]"
simei_cnae,2,73,"[""SAO BORJA - 4329101"", ""1""]"
simei_cnae,2,74,"[""SAO BORJA - 4329104"", ""1""]"
simei_cnae,2,75,"[""SAO BORJA - 4330402"", ""8""]"
simei_cnae,2,76,"[""SAO BORJA - 4330403"", ""10""]"
simei_cnae,2,77,"[""SAO BORJA - 4330404"", ""76""]"
simei_cnae,2,78,"[""SAO BORJA - 4330405"", ""10""]"
simei_cnae,2,79,"[""SAO BORJA - 4330499"", ""3""]"
simei_cnae,2,80,"[""SAO BORJA - 4399103"", ""339""]"
simei_cnae,2,81,"[""SAO BORJA - 4399199"", ""19""]"
simei_cnae,2,82,"[""SAO BORJA - 4520001"", ""108""]"
simei_cnae,2,83,"[""SAO BORJA - 4520002"", ""41""]"
simei_cnae,2,84,"[""SAO BORJA - 4520003"", ""17""]"
simei_cnae,2,85,"[""SAO BORJA - 4520005"", ""61""]"
simei_cnae,2,86,"[""SAO BORJA - 4520006"", ""18""]"
simei_cnae,2,87,"[""SAO BORJA - 4520007"", ""16""]"
simei_cnae,2,88,"[""SAO BORJA - 4530703"", ""29""]"
simei_cnae,2,89,"[""SAO BORJA - 4530704"", ""6""]"
simei_cnae,2,90,"[""SAO BORJA - 4530705"", ""4""]"
simei_cnae,2,91,"[""SAO BORJA - 4541206"", ""13""]"
simei_cnae,2,92,"[""SAO BORJA - 4543900"", ""14""]"
simei_cnae,2,93,"[""SAO BORJA - 4712100"", ""176""]"
simei_cnae,2,94,"[""SAO BORJA - 4713002"", ""7""]"
simei_cnae,2,95,"[""SAO BORJA - 4721102"", ""20""]"
simei_cnae,2,96,"[""SAO BORJA - 4721103"", ""2""]"
simei_cnae,2,97,"[""SAO BORJA - 4721104"", ""4""]"
simei_cnae,2,98,"[""SAO BORJA - 4722901"", ""7""]"
simei_cnae,2,99,"[""SAO BORJA - 4722902"", ""3""]"
simei_cnae,2,100,"[""SAO BORJA - 4723700"", ""144""]"
