cnpj,nome_credor,rubrica,empenhos,empenhado_R$,anulado_R$,liquidado_R$,pago_R$
95592077000104,PLANALTO TRANSPORTES LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",6,469702.25,0.0,313928.1,313928.1
17695813000570,JP SANTA LUCIA COMERCIO DE COMBUSTIVEIS,MATERIAL DE CONSUMO,35,992113.37,0.0,299631.28,299631.28
91572792000205,ASSOCIACAO ESPIRITA DR FERREIRA DE MORAE,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,453941.12,0.0,298153.84,298153.84
02520619000152,TRIBUNAL REGIONAL DO TRABALHO DA 4ª REGI,SENTENCAS JUDICIAIS,9,333845.64,0.0,333845.64,296751.68
29882173000162,R G A TRANSPORTES SAO BORJA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9,402615.52,119995.7,282619.82,282619.82
30468657000149,COMERCIO DE ALIMENTOS DAL MOLIN LTDA,MATERIAL DE CONSUMO,51,402171.25,813.4,270931.06,270931.06
17133532000108,GABRIEL SACILOTO PORTEELLA ME,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,21,284600.0,0.0,274650.0,264700.0
28927340000181,COMERCIAL DE TINTAS SANTO ANTONIO LTDA,MATERIAL DE CONSUMO,30,263316.36,0.0,263108.36,263108.36
53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,EQUIPAMENTOS E MATERIAL PERMANENTE,1,257950.0,0.0,257950.0,257950.0
02267697000197,LUIS CARLOS SEGATTO & CIA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8,376645.6,81714.49,245775.11,245775.11
88489786000101,MUNICIPIO DE SAO BORJA,VENCIMENTOS E VANTAGENS FIXAS - PESSOAL CIVIL,9,244641.34,0.0,244641.34,244641.34
02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,384160.8,16278.0,244278.52,244278.52
05489410000161,PROCURADORIA-GERAL FEDERAL,SENTENCAS JUDICIAIS,38,228657.72,0.0,228657.72,228657.72
06316591000197,ASSOCIACAO DOS COLABORADORES DE PROTECAO,CONTRIBUIÇÕES,2,336000.0,0.0,224000.0,224000.0
87958666000135,SECRETARIA DO ESPORTE E LAZER,INDENIZAÇÕES E RESTITUIÇÕES,1,208324.17,0.0,208324.17,208324.17
13054040000168,NICOMEDES AJALA BORGES LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8,277476.1,28467.51,249008.59,205228.59
05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,7,241777.48,26202.55,187428.16,187428.16
56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,MATERIAL DE CONSUMO,1,187200.0,0.0,187200.0,187200.0
94282845000160,TRANSPORTE INTEGRAÇÃO URBANA LTDA,DESPESAS DE EXERCÍCIOS ANTERIORES,7,187168.2,0.0,187168.2,187168.2
05090524000134,COSTA MACHADO & RODRIGUES LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,54,365402.91,14516.95,193927.28,184305.87
24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,5,304402.49,0.0,200520.33,174549.79
10690224000126,FUNDO DE PREVIDENCIA SOCIAL DO MUNICIPIO,JUROS SOBRE A DIVIDA POR CONTRATOS,40,252566.29,43252.38,209313.91,173658.16
01778749000127,COMERCIAL UNYLUX LTDA,MATERIAL DE CONSUMO,5,167925.4,0.0,167925.4,167925.4
02264781000157,CISMISSOES,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,10,208501.82,0.0,191939.3,165040.54
00964245000139,BRINGHENTTI INDUSTRIA E COMERCIO LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",2,164400.0,0.0,164400.0,164400.0
08967207000141,INFISC - INTELIGÊNCIA EM TECNOLOGIA LTDA,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,2,277951.72,0.0,163023.5,163023.5
00331788006583,AIR LIQUIDE BRASIL LTDA,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",12,234463.22,0.0,163023.04,163023.04
03990925000115,PLANET PAV COMERCIO DE ASFALTOS LTDA,MATERIAL DE CONSUMO,5,185970.0,0.0,157350.0,157350.0
11666105000362,DELLAMED S.A.,"MATERIAL, BEM OU SERVIÇO PARA DIST. GRATUITA",7,198151.02,0.0,154204.13,154204.13
23870217000158,GLOBAL MED SERVICOS EM SAUDE LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7,248584.72,35059.62,149085.3,149085.3
88409537000150,EMPRESA SÃO BORJENSE DE COMUNICAÇÕES LT,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,7,178386.02,0.0,146937.32,146937.32
02405070000155,OLINA IRACEMA BALBE CORREA LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9,185614.85,38834.08,146780.77,146780.77
00000000018724,BANCO DO BRASIL S/A,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,659,152936.55,2787.14,150149.41,146609.82
44946936000185,ASSOC. GRUPO DE MÃES ESPEC. DE SÃO BORJA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6,197955.37,0.0,141990.92,141990.92
26461699045524,CONAB - COMPANHIA NACIONAL DE ABASTECIME,RESSARCIAMENTO DE DESPESAS DE PESSOAL REQUISITADO,9,154312.06,17000.44,137311.62,137311.62
87934675000196,ESTADO DO RIO GRANDE DO SUL,COMPENSAÇÕES A REGIMES DE PREVIDÊNCIA,33,137267.18,0.0,137267.18,137267.18
08345339000131,DE ROSSO TRANSPORTES LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,9,203177.5,40627.95,162549.55,136549.55
04309482000117,M. KIRST LTDA,EQUIPAMENTOS E MATERIAL PERMANENTE,13,136503.0,0.0,134163.0,134163.0
32678022000100,SECRETARIA DE DESENVOLVIMENTO URBANO E M,INDENIZAÇÕES E RESTITUIÇÕES,1,133049.44,0.0,133049.44,133049.44
28556068000170,AEF LABORATÓRIO DE ANÁLISES CLÍNICAS EIR,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,0.0,130999.96,130999.96
08379462000173,WM PESQUISAS CLÍNICAS LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,0.0,130999.96,130999.96
90188525000195,LABORAN LABORATORIO DE BIOANALISES LTDA,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,0.29,130999.65,130999.65
90327297000197,LABORATORIO APPEL DE ANALISES CLINICAS L,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,0.56,130999.4,130999.4
90791609000119,DF - ANALISES CLINICAS LTDA.,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4,224571.36,2.67,130819.73,130819.73
