instituicao,empenho,funcao,subfuncao,programa,acao,rubrica,recurso,data,empenhado_R$,anulado_R$,liquidado_R$,pago_R$,eligibility
PREFEITURA MUNICIPAL DE SÃO BORJA,14535 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-08-03,202873.20,0,202873.20,202873.20,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,14536 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-08-03,485100.00,0,485100.00,485100.00,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,15014 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-08-11,67624.42,0,67624.42,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,15650 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-08-24,360452.46,0,360452.46,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,16366 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,RESOLUÇÃO CIB/RS,2026-08-31,952120.00,0,952120.00,952120.00,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,16825 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,SUBVENÇÕES SOCIAIS,ASPS,2026-09-10,31605.00,0,0,0,EXCLUIR
PREFEITURA MUNICIPAL DE SÃO BORJA,16826 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-09-10,113967.72,0,0,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,16907 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,ASPS,2026-09-11,360452.46,0,0,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,16990 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-09-16,175900.80,0,0,0,CORE_PROCUREMENT
PREFEITURA MUNICIPAL DE SÃO BORJA,16991 / 2026,SAUDE,ASSISTÊNCIA HOSPITALAR E AMBULATORIAL,REDE DE ATENÇÃO À SAÚDE - RAS,ASSISTÊNCIA À SAÚDE - MÉDIA E ALTA COMPL,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,CUSTEIO - ATENÇÃO MÉDIA E ALTA COMPLEX AMBULAT E HOSP,2026-09-16,6117203.68,0,0,0,CORE_PROCUREMENT
