rank,cnpj,nome_credor,pago_core_R$,share_core,territorial_class,exact_situacao,exact_uf,exact_municipio_tom,exact_municipio_nome,root_local_active_count,rubricas_core,empenhos_core
42,53326285000111,BRENNER COMERCIO AUTOMOTIVO LTDA.,257950.0,0.0035806749294699796,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8729,LAJEADO,0,EQUIPAMENTOS E MATERIAL PERMANENTE,1
43,02267697000197,LUIS CARLOS SEGATTO & CIA LTDA,245775.11,0.003411671931245305,ROOT_WITH_LOCAL_ACTIVE_FOOTPRINT,02,RS,8853,SANTO ANGELO,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8
44,02779462000184,SCHEUERMANN & SCHEUERMANN LTDA,244278.52,0.0033908973536422985,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8831,ROSARIO DO SUL,0,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,4
45,04309482000117,M. KIRST LTDA,220793.9,0.003064900881216909,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,EQUIPAMENTOS E MATERIAL PERMANENTE | MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,42
46,13054040000168,NICOMEDES AJALA BORGES LTDA,205228.59,0.0028488345300386637,LOCAL_EXACT_ACTIVE,02,RS,8863,SAO BORJA,1,OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,8
47,05238851000190,DBSELLER SERVICOS DE INFORMATICA LTDA,187428.16,0.0026017418631079205,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,7
48,56170867000140,EDITORA EDUCACIONAL CORREA LTDA.,187200.0,0.002598574711365692,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8599,CAXIAS DO SUL,0,MATERIAL DE CONSUMO,1
49,05090524000134,COSTA MACHADO & RODRIGUES LTDA,184305.87,0.002558400496465025,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8951,URUGUAIANA,0,SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO,54
50,24604095000110,PRECISAO TRATAMENTO DE AGUA LTDA.,175239.79,0.0024325517452939874,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8945,TUCUNDUVA,0,MATERIAL DE CONSUMO | OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA,6
51,01778749000127,COMERCIAL UNYLUX LTDA,167925.4,0.002331018685021198,EXTERNAL_EXACT_ACTIVE_NO_LOCAL_FOOTPRINT,02,RS,8801,PORTO ALEGRE,0,MATERIAL DE CONSUMO,5
